299;21.00;94.00;04/01/2020;04:01:06
298;21.00;94.00;04/01/2020;04:01:07
299;21.00;94.00;04/01/2020;04:01:09
300;21.00;94.00;04/01/2020;04:01:10
299;21.00;94.00;04/01/2020;04:01:12
307;21.00;94.00;04/01/2020;04:01:13
309;21.00;94.00;04/01/2020;04:01:15
309;21.00;94.00;04/01/2020;04:01:16
309;21.00;94.00;04/01/2020;04:01:18
309;21.00;94.00;04/01/2020;04:01:19
309;21.00;94.00;04/01/2020;04:01:21
309;21.00;94.00;04/01/2020;04:01:22
309;21.00;94.00;04/01/2020;04:01:24
310;21.00;94.00;04/01/2020;04:01:25
309;21.00;94.00;04/01/2020;04:01:27
307;21.00;94.00;04/01/2020;04:01:28
